transaction_id,date,customer_id,description,merchant_name,amount,payment_method,type,customer_segment,location
T000001,2023-10-17,25795,cashback received,Reliance,5758.08,UPI,income,Student,Hyderabad
T000002,2022-04-25,10860,transfer processed,ICICI,48318.05,Net Banking,income,Salaried,Hyderabad
T000003,2022-01-26,86820,insurance premium,Google Pay,3903.37,Cash,expense,Salaried,Mumbai
T000004,2024-01-30,64886,rent paid,Local Store,29672.16,UPI,expense,Student,Mumbai
T000005,2022-10-09,16265,refund processed,Electricity Board,12141.51,UPI,expense,Business,Hyderabad
T000006,2022-09-08,92386,fuel payment,Swiggy,11262.99,Credit Card,expense,Student,Chennai
T000007,2022-08-17,47194,grocery purchase,HDFC,11585.11,Net Banking,expense,Business,Delhi
T000008,2022-05-23,97498,account adjustment,Local Store,28729.18,UPI,expense,Salaried,Mumbai
T000009,2024-01-25,54131,cashback received,SBI,1464.9,UPI,income,Student,Chennai
T000010,2022-04-15,70263,transfer processed,Google Pay,32088.66,UPI,expense,Student,Mumbai
T000011,2023-11-24,26023,subscription charge,Flipkart,7115.39,Debit Card,expense,Retired,Chennai
T000012,2024-01-29,51090,electricity bill,ICICI,36333.47,UPI,expense,Business,Bangalore
T000013,2023-07-13,77221,electricity bill,ICICI,20205.1,Debit Card,expense,Retired,Delhi
T000014,2022-03-31,74820,salary credited,ICICI,444.12,Cash,income,Salaried,Mumbai
T000015,2023-08-28,10769,commission credited,Salary Dept,12447.83,UPI,income,Retired,Bangalore
T000016,2023-03-09,69735,salary credited,Swiggy,5519.69,UPI,income,Salaried,Chennai
T000017,2022-02-02,72955,commission credited,SBI,26815.56,Net Banking,income,Business,Mumbai
T000018,2022-01-31,74925,insurance premium,Uber,22584.12,UPI,expense,Business,Bangalore
T000019,2022-04-06,77969,refund processed,Freelance Client,4145.6,UPI,expense,Business,Mumbai
T000020,2022-08-12,15311,insurance premium,Reliance,6388.46,Debit Card,expense,Salaried,Delhi
T000021,2022-08-27,93104,refund processed,Electricity Board,45352.41,Debit Card,expense,Retired,Bangalore
T000022,2023-06-02,63707,transaction completed,Amazon,4997.91,Net Banking,expense,Student,Mumbai
T000023,2023-09-09,95305,fuel payment,Airtel,15610.21,Debit Card,expense,Student,Chennai
T000024,2022-01-28,38693,bank entry,Tax Office,18510.54,Net Banking,expense,Retired,Delhi
T000025,2023-07-29,81932,fuel payment,Zomato,45710.37,Net Banking,expense,Business,Bangalore
T000026,2022-07-23,35658,account adjustment,Flipkart,16460.04,Credit Card,income,Salaried,Delhi
T000027,2024-01-04,94478,interest credited,HDFC,21579.6,Net Banking,income,Student,Delhi
T000028,2023-10-28,28431,freelance income,Zomato,9354.25,Credit Card,income,Student,Hyderabad
T000029,2023-12-20,12747,payment received,Uber,43254.18,Credit Card,income,Business,Mumbai
T000030,2023-07-13,69150,insurance premium,Flipkart,5608.17,Net Banking,expense,Business,Bangalore
T000031,2023-03-06,75725,freelance income,Reliance,24701.85,Cash,income,Salaried,Mumbai
T000032,2022-08-14,94654,electricity bill,ICICI,45503.82,Cash,expense,Student,Chennai
T000033,2023-04-05,45773,grocery purchase,PhonePe,16248.5,Credit Card,expense,Business,Mumbai
T000034,2023-08-27,77435,bonus received,Google Pay,2796.51,UPI,income,Business,Delhi
T000035,2022-10-12,66886,electricity bill,Reliance,27964.18,Net Banking,expense,Retired,Mumbai
