id,date,description,amount,type,category,mode,bank,product_amount,deducted_amount,extra_charge,charge_reason,fraud,anomaly,risk_score,confidence,user_id,created_at
3422,2026-05-31,-- Interest Credit Income n,26940.0,income,others,Unknown,Unknown,26940.0,26940.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:50
3373,2026-03-31,-- Freelance Project Income n,17011.0,income,others,Unknown,Unknown,17011.0,17011.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:41
3447,2026-06-30,-- Electricity Bill Expense n,16521.0,expense,utilities,Unknown,Unknown,16521.0,16521.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:55
3396,2026-04-30,-- Fuel Expense n,4240.0,expense,others,Unknown,Unknown,4240.0,4240.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:46
3322,2026-01-30,-- Mobile Recharge Expense n,22088.0,expense,others,Unknown,Unknown,22088.0,22088.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:33
3193,2026-01-30,-- International Flight Booking,150000.0,expense,travel,Unknown,Unknown,125000.0,150000.0,25000.0,Bank or Platform Fee,1,1,60.0,0.5,4,2026-03-08 06:25:50
3421,2026-05-29,-- Freelance Project Income n,67931.0,income,others,Unknown,Unknown,67931.0,67931.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:50
3395,2026-04-29,-- Freelance Project Income n,65665.0,income,others,Unknown,Unknown,65665.0,65665.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:46
3372,2026-03-29,-- Internet Bill Expense n,15208.0,expense,utilities,Unknown,Unknown,15208.0,15208.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:41
3192,2026-01-29,-- Interest Credit,3500.0,income,others,Unknown,Unknown,3500.0,3500.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 06:25:50
3502,2026-01-28,Bonus Credit,10000.0,income,others,Unknown,Unknown,10000.0,10000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-11 06:55:15
3191,2026-01-28,-- Car EMI Payment,15000.0,expense,others,Unknown,Unknown,15000.0,15000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 06:25:50
3446,2026-06-27,-- Electricity Bill Expense n,21299.0,expense,utilities,Unknown,Unknown,21299.0,21299.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:55
3394,2026-04-27,-- Interest Credit Income n,65872.0,income,others,Unknown,Unknown,65872.0,65872.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:46
3371,2026-03-27,-- Freelance Project Income n,12140.0,income,others,Unknown,Unknown,12140.0,12140.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:41
3343,2026-02-27,-- Car EMI Expense n,8899.0,expense,others,Unknown,Unknown,8899.0,8899.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:36
3321,2026-01-27,-- Medical Expenses Expense n,22274.0,expense,others,Unknown,Unknown,22274.0,22274.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:33
